review_title,cust_rating,cust_review_text,date_experience,comment_length,sentiment
Poor performance ,1,purchase pair air jordan june th shoe expensive hop spend however justify cost think high quality would last long time less six month notice hole wear completely sol shoe use shoe play pickleball approximately twice week one two hour time feel shoe last long contact nike customer service pay ship cost send shoe inspection surprise response nike shoe defective normal wear tear nothing could offer disappoint purchase nike product,2025-01-27T18:11:00.000Z,779,-0.0236904761904762
Dreadful customer service,1,dreadful customer service place order expect delivery week later still wait contact let know contact customer service take age get tell order hadnt leave warehouse really poor wont use nike website,2025-01-17T14:52:42.000Z,287,-0.3
UK - Great Service,5,uk reliable free ship member product receive always great quality,2025-02-02T18:44:30.000Z,125,0.6000000000000001
Awful.,1,lose item refuse give refundsthe customer support rude unhelpful time offensive,2025-02-06T17:14:31.000Z,111,-0.3
I purchased a LIMITED EDITION Galaxy…,1,purchase limit edition galaxy foamposite wait line hour order buy one pair say would pair make worldwide buy investment childrens charity volunteer able sell lot future tell nike mass produce year pair buy year ago wont even worth pay thirteen year ago numerous phone call get nowhere,2025-01-23T00:45:28.000Z,508,0.17551020408163268
I want to share my experience with…,1,want share experience nike look never issue return exchange problem think many agree nike never pure company stuff never cheap dont understand big company cant offer birthday discount give randomly people like lottery isnt silly fullprice item choose one omg wtf,2025-01-26T19:34:20.000Z,468,-0.07857142857142857
What a complete pile of poop.,1,complete pile poop treat like complete fool accuse racism say vietnam cheap country live clear nike use country cheap labour hence huge profit ask record conversation never get use call center indian another cheap country live turn up give wrong info nike sit count profitsplease take money somewhere else people company customer service,2025-01-18T11:28:54.000Z,568,0.1174070247933884
I purchased a pair of 90’s and when…,1,purchase pair deliver collar foam come collar collar meet rubber eyelet part return nike like colour way happy exchange rather get full refund think simple quality control mistake receive second pair come raw box nike paper divide shoe shoe inside identical flaw first pair surprise constant contact nike throughout week take return second pair full refund think maybe grow nike wear many good quality clothe store,2025-01-24T11:22:44.000Z,728,0.26301775147928996
I thought Nike being a household name I…,1,think nike household name wouldnt check write review screenshots every conversation membership discount wouldnt work hour live chat different operator cut twice talk circle use app use website clear cache bla bla higher team look could go end buy shoe full value end present,2025-01-15T15:27:54.000Z,488,0.11055194805194804
Shit,1,order shoe yesterday order wrong size im try one day cancel didnt answer stupid service try cancel didnt let cancel try online chat put polish language say experience nonsense bad customer service dont recommend shit,2025-02-01T10:43:44.000Z,343,-0.5499999999999999
Ordered trainers for Christmas due on…,1,order trainer christmas due st december still arrive customer service email contact standard bot reply repeatedly freeze ive able speak anyone get refund clearly review common problem parcel seem track evri never arrive,2025-01-10T18:05:33.000Z,320,0.007142857142857141
Awful delivery experience ,1,would think buy direct would easiest safest way order shoe receive delivery confirm email package sight call find actually hadnt deliver house local post office email note letter box let know customer service good automate delivery system scratch brand like nike never order directly,2025-01-16T10:12:24.000Z,476,0.21666666666666667
Highly recommended!,5,dismay negative review trustpilot best experience nikecom christmas day order new pair run shoesa model absolutely love best price available anywhereand receive two day later full week estimate delivery date sign free nostringsattached nike membership order get free standard ship make purchase attractive hesitate order,2024-12-29T16:06:23.000Z,494,0.4152972027972028
"Awful quality, huge price tag",1,ive buy different new pair trainer past year none last longer year fail fault air max trainer fell apart complain nike lengthy process eventually get new pair new pair fell apart way first pair avoid nike shoe cost,2025-01-11T17:21:11.000Z,364,0.009917355371900825
Nike has been avoiding me,1,nike avoid still havent receive parcel courier deliver different store far away expect collect want refund unacceptable feel like joke shame im extremely unhappy serviceits worst customer experience ive ever ive wait far long demand refund immediately,2025-01-15T14:33:28.000Z,385,-0.234375
Nike Support is Amazing,5,buy nike gift card walgreens couldnt read code back support team assist replace gift card prompt patient fashion,2025-01-28T06:50:32.000Z,166,0.0
Do not buy from Nike.com…,1,advise people never place order webstore worst service ever experience offer express delivery fee ability delivery accordingly customer service inside delivery order possibility cancel order show time week buy store nikecom,2025-01-16T17:10:03.000Z,381,-0.09999999999999998
Ordinate air max 90 arrivate in tre…,5,ho ordinato air max arrivate tre giorni perfette quindi non sempre vero che combinano disastri,2025-01-21T16:25:12.000Z,109,0.0
Solid,4,great quality shoe fast delivery website easy use customer service could responsive overall solid experience,2025-02-01T18:08:16.000Z,142,0.32222222222222224
Order shoes  6 weeks later no shoes,1,order shoe nov daughter receive confirmation nov ship would arrive within day follow dec tell lose week finger point song dance issue refund jan st sorry discount code another pair shoe thank nike drop ball daughter christmas gift,2025-01-08T02:00:54.000Z,382,0.25
Buy their products at your own risk,1,buy product risk send pair monarch clearly defective deny replace bottom one sneaker separate shoe poorly glue rd th pair use good wont waste money nike product longer dont back quality,2025-01-27T20:09:08.000Z,382,0.11428571428571425
Nike refusing to refund me!,1,nike refuse refund mei buy trainer nike online however fit opt return item refund open return website nike offer several return option choose inpost locker return involve find inpost locker use code give nike drop parcel locker pick return nike inpost th january deliver nike th see track link provide nike however claim parcel arrive refuse issue refund leave pocket refuse investigate issue tell problem inpost confirm delivery make correct place terrible service nike instance follow instruction tell sure feel completely abandon nike,2025-01-27T19:41:21.000Z,995,-0.13571428571428573
I used to enjoy buying from Nike but…,1,use enjoy buy nike remember stop terrible customer service shame use great wont bother im pay money company cant ared speak,2025-01-22T09:39:47.000Z,224,0.07500000000000001
Bought a pair of tights from Nike on a…,1,buy pair tights nike discount seam get loose immediately want change new pair wasnt allow thing could offer refund discount product course new pant would cost,2025-01-27T14:24:16.000Z,263,0.11596736596736597
Returned items not refunded,1,return item proof receipt drop track show parcel arrive nike warehouse provide nike photo proof however wont refund say havent receive shockingly poor service,2025-01-22T23:34:38.000Z,267,-0.4
Had 2 parcels totalling £430 left…,1,parcel total leave unsafe dpd go miss nike still havent refund keep say investigate im fume terrible service,2025-01-15T17:44:40.000Z,170,-0.4635416666666667
I do not advise anyone to buy from this…,1,advise anyone buy place especially nike gr one salonika store sell expensive product complaint quality take advantage fact receipt refuse help opinion illegal refuse search product upc number,2025-01-22T13:43:10.000Z,341,-0.3333333333333333
Nike's customer service is absolutely…,1,nike customer service absolutely shock company size embarrass customer service experience certainly put shop nike nike advisor unfortunate enough get keep talk phone talk pick phone back kid ask question obviously couldnt answer werent listen try kid line deadi return faulty pair nike trainer two year warranty say didnt receive even though produce proof return label via royal mail also show date time deliver nike say take royal mail fault lie nike even parcel go miss hasnt one provide return labeli contact bank charge back get money back explain everything bank happy charge back return recipet etcif issue like would go bank refund nike absolutely useless,2025-01-29T14:26:32.000Z,1196,-0.060090702947845784
If I could give a zero I would,1,could give zero would send shoe dirty blood stain reach within min open package customer service min request speak supervisor place hold rep come back tell supervisor available best could return shoe wait day refund point shoe photo shoot also money use pay tell wait hour call since hour supervisor reach regard major inconvenience fail understand billion dollar company totally disregard customer service customer satisfaction,2025-01-16T02:27:59.000Z,763,0.05178571428571429
Nike one of the biggest sports brands…,2,nike one biggest sport brand allow lose identity international call centre deal call handler authority give repeat textbook response pas back forth resolution fault pair shoe nike receive one month ago refuse refund dont level authority despite would furious today finally get live chat member take security question indicate must elsewhere refund without hesitation change review resolve issue nike look standard service sort awful huge company stop cheap employ company dont care customer,2025-01-09T14:52:24.000Z,803,0.015151515151515145
great experience,5,order several pair shoe lastminute christmas gift ship quickly receive christmas return also quick simple fit didnt work one pair,2025-01-13T20:34:44.000Z,210,0.2333333333333333
Very unhelpful customer service ,1,place order pair shoe cap nikecom st dec euro retuened shoe refund receive euro st dec realize send cap well purcel look refund nike issue refund euro paypal account nd jan cancel never come account since speak customer service team nikecom occasion th th th january solve time make send detail transaction pass book department way access tell wait yet nothing solve feel fob altogether frustrate stress rd phonecall get bite excite phone tell frustrate feel tell unprofessional hang professional,2025-01-31T14:58:32.000Z,985,-0.03052083333333333
Terrible ,1,item nike arrive damage look like paint mark trainer impossible get nike customer service hour min wait get hold someone chat everytime get near try return item would leave chat hour eventually get returnable label,2025-01-16T01:52:06.000Z,329,-0.2833333333333333
Horrible customer service and cheap quality of product.,1,month normal city walk use pair nike pegasus trail open hole top speak customer service send photo evidence qr code pair original three month still silencelast time contact customer service tell investigate case look dont carei never buy nike product,2025-01-03T13:05:30.000Z,412,0.25625
nike customer services faulty product,1,faulty delaminating trainer wear handful time contact trainer month old jump hoop picture damage etc say cover ware tare customer year never joke company product crap expensive rubbish grrrrrhhh,2024-12-12T12:34:35.000Z,329,-0.27999999999999997
Terrible,1,terrible wont buy use nike almost year buy football boot last week nike website royal mail say deliver rush back work get back parcel talk customer service live chat ring nothing terrible put investigation take business day end one lose money want pair football boot want speak proper customer service actually resolve problem,2025-01-19T14:15:38.000Z,602,-0.23295454545454547
Nike kicks 👟👟👟,3,good shoe decent price perfect quality perfect,2025-02-07T21:09:07.000Z,62,0.6222222222222222
Shocked at the negative reviews,5,surprise see negative review regard nike soon issue honestly helpful resolve timely manor always helpful friendlyi use long time would definitely recommend,2024-12-29T03:05:36.000Z,278,0.076
Terrible company,1,terrible company buy sweatshirt nike strength son law christmas need larger size go nike store return would take hassle get return label pay take forever get credit sweatshirt want simply give gift card wear w co find etc increment custom dollar amount decide reorder didnt want son law incur cost pay ship tax company exchange co phone company combine ship company atrocious never business nike ever costly sweatshirt penny wise dollar foolish must trouble financially due disgust practice china wighurs make apparel company want association,2025-01-24T18:41:33.000Z,972,-0.2113636363636364
They are so unprofessional I have…,1,unprofessional wait week refund nike team member mess end please never place online order wit,2025-01-24T17:02:18.000Z,161,0.1625
Disgusting customer service,1,disgust customer service refuse provide refund return good every operative speak completely useless repeat thing complaint team unable escalate,2025-01-15T22:05:28.000Z,236,-0.4
Horrible Service 😡,1,horribly order pair shoe xmas family order split accord track package deliver september apartment complex accord proof delivery phone since th tell make police report miss item nike usps still nothing mention compensation,2024-12-26T15:39:20.000Z,379,-0.3
Shocking returns experience,1,shock return experience receive email say word word printer problem use button access scannable code drop return fact printable wait hold speak agent minute stand outside post office agent spend minute make new label another printable apparently unable create scannable barcode waste time awful customer experience nike really market lead brand lol,2024-12-13T13:38:20.000Z,522,-0.15123966942148762
Customer expected to pay for Nike error,1,package damage shipper never notify item sell realize receive christmas gift son representative refuse swap similar item elastic rather cuff sweat pant black friday price,2024-12-17T01:05:38.000Z,245,-0.08333333333333333
Just received my son's Christmas…,1,receive son christmas present low behold shoe deliver instead pairthe online customer service could give reasonable explanation solve issue today suppose return item send complete pair receive return mean son christmas present zero compensation,2024-12-24T18:11:13.000Z,382,0.05000000000000001
Worse website I've ever used,1,worse website ive ever use get voucher nike rather store impossible use keep say errorsorry unable process yourorder information please call helpcode db look online apparently well know im waste time phone customer service apparently terrible ive ever wear nike never buy especially directly,2024-12-04T23:30:38.000Z,471,-0.18916666666666668
Don't recommend,1,order pair kid trainer expect delivery th december receive email th say stock even though still available order online exact size suppose stock customer service helpful recommend order nike online,2024-12-29T17:06:10.000Z,310,0.18333333333333335
I got in touch with customer service,1,get touch customer service explain problem wait like minute wait someone say hi close chat minute,2025-01-19T13:19:00.000Z,176,-0.1
Worse customer service ever,1,worse customer service ever take hour get rep one day next day hour explain situation time different rep able speak supervisor must manager supervisor work cant locate shoe also wont cancel order,2024-12-31T22:41:12.000Z,312,0.024999999999999994
Poor quality of nike air force shoes,1,poor quality nike air force shoe always tear heel accepteable price,2025-02-05T11:59:43.000Z,102,-0.4
Hi I purchased Nike air max dn and just…,1,hi purchase nike air max dn day shoe damage im really surprise quality poor cant believe please check attachment invoice infoinvoice date order date,2025-01-13T11:52:16.000Z,212,-0.21000000000000002
TERRIBLE... AVOID,1,one worst customer service ever encounter ill never shop nike online chat advisor refuse give name ive leave pocket damage trainer christmas refuse resolve keep cut chat im go bank put claim,2024-12-26T15:41:17.000Z,340,-0.5625
Evri now deliver nike ,1,never problem nike use evri first parcel lose week get hold someone mission tell parcel lose refund take day look review ill hold breath company get away,2025-01-08T15:22:10.000Z,265,0.0625
THIEVES!,1,order trainer partner courier irresponsibly leave outside time get home package go two week nike yet respond refund replace order ive report theft police secure refund lack accountability unacceptable make matter worse staff contact rude unhelpful experience share across social medium ensure others aware disappoint frustrate poor service,2024-12-23T17:14:41.000Z,527,-0.18666666666666668
I ordered a pair of custom Nike Air,2,order pair custom nike air quality stitch poor sever mark leather nike logo back shoe stitch untidy inconsistent also logo insole come wear three time send photo shoe nike hear nothing back,2025-01-02T22:43:59.000Z,350,-0.1
Terrible ,1,honestly could give star would absolutely disgust order pair trainer last tuesday somehow order get cancel reason place another order different trainer stand order confirm week call see whats go yet order nowhere find yous actually real point lose word never order anything website shame,2024-12-04T21:48:07.000Z,458,0.06785714285714285
James from the Nike Outlet ,5,take trip nike outlet near bicester serve lovely gentleman call jam initially go till wrong size trainer check correct mistake customer service roof polite speak young gentleman deserve massive praise raise he amaze,2025-02-01T16:33:42.000Z,335,0.175
STAY AWAY FROM THIS COMPANY 0 STAR,1,recommend company complete joke waste day time never able receive shoe get order cancel day later even though call day place order track number state order seem stick prepare order would like refund since flight end january really need pair say nono everything fine dont offer refund min order place ten day later send email proof ive get wait week refund shoe customer service wont anything tell atleast find branch try figure new pair hold money tie day isnt convenient refund money late tell kick rock kind selfish customer service business practice frustration real plus buy different pair well last year realise send defective pair dont know didnt learn buy anymore time assure never nike keep cant use shipment get stick twice pointless,2025-01-22T18:40:29.000Z,1214,0.05924688057040998
Awful Customer Service,1,go trouble register order christmas child offer order place order number receive day later order cancel stock website would know order place thus waste time buy black friday offer end elsewhere nike actually cost money chatbot throw agent available terrible customer service round child persuade wear different brand next time,2024-12-05T18:15:45.000Z,515,-0.11597222222222221
Refund denied since box was empty!?,1,order run shoe nike online didnt like return th december evri nd jan refund call say parcel receive th empty deny refund blame bad delivery service evri weight check packagesi never shop nike,2025-01-02T11:48:52.000Z,363,-0.27499999999999997
"Fraud, waste of time, no orders processed, no customer service",1,process order sale item process payment although process run normally via paypal paypal send confirmation order payment try place order twice whole procedure everything disappear customer service bot able respond anything disgust worse fraudulent dodgy site nike shame,2024-12-04T16:33:44.000Z,421,-0.3625
Feels like I've been SCAMMED!,1,could give star wouldin first week december order two product nike intend give christmas present website assure order december would receive order christmas december still hadnt receive updatesno track number nothingso call call centre agent confirm mistake side order hadnt even process yet also tell would deliver new yearsince christmas gift unacceptable opt cancel order request refund agent assure would receive refund within work daysits january still havent receive refund nike owe r ive contact customer service five time every time im tell review await management approval ask update hear nothing backto make matter worse scramble buy replacement gift last minute christmas eve busy shopssomething try avoid order online first placethis level service completely unacceptable expect far better globally recognise company like nike never buy wouldnt recommend anyone else either,2025-01-24T14:42:11.000Z,1371,0.10279720279720281
My initial experience with Nike was one…,5,initial experience nike one star yesterday update state refund could take day usually day confirm nike fully refund money bank today,2025-01-16T17:39:59.000Z,220,-0.125
Returned faulty trainers not refunded,1,purchase trainer son poor quality send pic nike send return label hear nothing say havent receive trainer back accord parcel track yes interest proof also look like label send different place place raise complaint athlete say could leave feedback bot useless response x though tell dm instagram dont trust warranty guarantee nike btw manager absolute joke notice im one similar issue,2024-12-12T18:44:57.000Z,577,-0.125
I ordered a Golf bag worth over £400…,1,order golf bag worth break month request replacement tell send back email label print dont printer give box put overall customer experience quality dirt poor,2024-12-31T13:57:28.000Z,292,0.08333333333333331
Terrible costumer service,1,terrible costumer serviceits one month try contact someone assist refund answer give always pass one athlete another zero refund,2025-01-03T11:27:32.000Z,185,-1.0
"I have been calling their ""athletes""…",1,call athlete time time wait time around minute get refund return good change bank account take week still fund complete utter incompetence,2024-12-19T11:47:22.000Z,267,0.05
Terrible customer service,1,terrible customer service send item order prove difficult find exchange promise update anything wont order website consider ever buy nike item,2024-12-12T20:10:58.000Z,275,-0.825
Crapy customer service,1,customer service number hard find customer service hard reach spend minute queue phone person precisely nike athlete answer helpful surprise ask basic question overprice product crapy customer service,2024-12-07T13:17:32.000Z,307,0.027083333333333334
Very poor!,1,poor try place order morning try different payment method app desktop pc mum try friend customer support take hour respond even uninterested help reservation payment paypal one barclaycard go elsewhere even pay customer service alone,2024-12-11T14:22:59.000Z,388,-0.10416666666666667
Terrible customer service,1,terrible customer service daughter yoa save hard order jacket current xmas gift get lose transit nike offer refund must wait day reorder full price item discount apply ship call forshabby nike reshipped replacement item immediately notification item lose courier give daughter discount code use future purchase would much better resolution nike almost guarantee return customer instead leave bad taste admin heavy process get kind good gesture avoid,2024-12-12T17:28:37.000Z,713,-0.003472222222222219
So I got running pants and they ripped…,1,get run pant rip less month want send back tell one tag remove itchy af cant issue refund take back like well take tag feel even bite immediately send back ever buy nike opposite brand nike three stripe x better anyways,2024-12-24T10:37:13.000Z,431,0.019047619047619042
GOOD shoes they make ,5,good shoe make really like brand best one everything,2025-02-15T21:14:04.000Z,76,0.6333333333333333
The worst experience ver buying…,1,worst experience ver buy something online call customer service twice wait min get disconnect rude disrespectful didnt get help order give,2024-12-20T01:41:18.000Z,220,-0.65
"Nike, I am outraged.",1,today receive empty nike box shoe paper inside outrage nike decide absolutely nothing claim weight mean package ship correct sit empty box know problem nike delivery service parcel box wasnt tamper see mistake couldve occur however didnt necessarily feel light parcel box fairly heavy suppose christmas gift cousin guess thats window,2024-12-13T23:40:06.000Z,595,-0.09375
They changed sizes,3,always size model year include costumize suddenly fall size smaller normal,2025-01-11T14:35:14.000Z,124,0.03
Horrible! Nike is an absolute joke,1,nike absolute joke order gift card almost three week ago still mia waste two hour online try get help representative slow respond felt like intentionally ignore mention wait time casually ask hold another minute busy seriously put half much effort actually help customer juggle multiple chat wouldnt issue agent utterly dismissive show respect time finally get digital gift card completely defeat purpose gift id better give cash valuation billion customer service shockingly terrible downright insult theyve lose business good id give zero star could,2024-12-11T22:10:24.000Z,865,-0.07352941176470588
Worst & Rudest Shop - Swindon Designer Outlet Nike Shop,1,buy football boot son try break ankle take midland outlet staff good say return refund even try one timeas didnt try never know break ankle unfortunately havent bring receipt midland outlet staff ask go nike outlet store also refundi call c yesterday reconfirm return refund go swindon designer outlet nike shop today explain problem shoe swindon designer outlet nike shop cant refund staff rude use different excuse reject refundthis worst rudest shop meet uk son definitely keep away nike football boot,2024-12-23T16:04:44.000Z,762,-0.18333333333333335
No Christmas present for my nephew thanks to Nike Canada,1,purchase shoe dec pay expedite ship ensure would arrive christmas christmas day guess shoe contact customer service dec dec able tell information order still prepare shipment someone would get back within hour clearly bring u christmas ask twice go refund expedite ship charge put lack customer service ask go refund ship still answer order come,2024-12-25T22:19:04.000Z,688,0.135
Use a retailer,1,order day ago expect delivery day ago update track customer service cant tell help wait work day update still wait refund,2024-12-19T22:20:57.000Z,204,-0.1
