review_title,cust_name,cust_location,cust_reviews,cust_rating,cust_review_text,seller_response,date_experience
Buyer Beware,Momster Made,US,1,1,"Made an almost $500 purchase on Dec 2. Receivedan email from then stating an additional 3-5 deliverythe next day. I immediately emailed back and askedwith this create an issue with me getting the item forXmas. Elena from Up north responded No, we aremaking sure all our customers get their packages intime for Xmas. Dec 15 rolls around still no shipping information I email inquiring. I get an immediateresponse saying let me check on this oh it’s shippingtoday all in the same email. I paid for express shipping. I get the tracking email it states it won’t arrive until January 2. I immediately email to ask what on earth is this! No response. I call get Austin on the phone who was like meh yea it’s Xmas sorry about that!! Lied and said it was sent usps priority mail. Their website states all packages are usps priority or express or fed ex. No my package went usps ground advantage to save them money, KNOWING they messed up shipping it, took no effort to followthrough on their word of getting it here in time asthey should have. I specifically asked on December 3 will it be here in time if not I will cancel and order elsewhere. All assurances were given! I’ve since emailed twice asking why they were dishonest about the shipping method and when it actually shipped,zero response! First purchase here and it will be my last! Package to date still not received.",False,"December 02, 2024"
Love working with these guys,Wade,US,4,5,"Love working with these guys.  If you have any issues you have some good Midwest folks helping you out, not a call center overseas.",Thank you for your kind words! We appreciate your feedback and are glad to hear you had a positive experience working with us. We strive to provide excellent customer service and are proud to have a team of dedicated individuals who are always ready to assist.,"December 14, 2024"
Never received the $250 coat that I…,Happy Customer,US,2,1,"Never received the $250 coat that I ordered. Tried to resolve through the merchant, they said they will file claim with FedEx. Two weeks later, no coat, no refund, and vendor will not respond to me with status updates. About the worst customer service I have seen in a long time. Good luck!",We value your business and strive to provide a positive customer experience. We are sorry to hear about the difficulties you have encountered. We are committed to working with our merchants to resolve these issues and ensure a satisfactory outcome for our customers.,"December 04, 2024"
Up North Sports provided great service,William,US,5,5,"Up North Sports provided great service. I received the jacket I ordered promptly (4 business days). It turned out to be too big. Online instructions for the return process were complete and made everything easy. Its helpful that the company provided an option for printing a prepaid return label. All I had to do was re-package the jacket, attach the prepaid return label, and drop the package off at a Fedex location. Easy.",We appreciate your kind words and are thrilled to hear about your positive experience with our company. We strive to provide our customers with excellent service and are glad that you found our return process easy and convenient. We value your feedback and will continue to work hard to ensure that our customers have a seamless experience.,"December 06, 2024"
Great customer service,Cady,US,1,5,Great customer service! I had to change my order and it was very quick and friendly service. Product also came Exactally as described and very well packaged! Would highly recommend ordering from here.,We appreciate your kind words and are thrilled to hear about your positive experience.  It's wonderful to know that our customer service team was able to assist you with your order change and that you received your product exactly as described. We strive to provide excellent service and are happy to hear we met your expectations.,"December 13, 2024"
Great suit for snowmobiling,viriam,US,2,5,"Great suit for snowmobilingI purchased this for my son-in-law to wear while snowmobiling. It fits him perfectly and works great for him, he says.",We're thrilled to hear that the suit is a perfect fit for your son-in-law and that he's enjoying it while snowmobiling. We appreciate you taking the time to share your positive experience.,"December 05, 2024"
Items received in a timely manner as…,RACHEL,US,6,5,Items received in a timely manner as described.,Thank you for your kind words. We are thrilled to hear that you received your items in a timely manner and as described. We strive to provide our customers with a positive experience.,"December 12, 2024"
Very good website and fast shipping,Ed LaBois,US,3,5,Very good website and fast shipping. The jacket was competitively priced and very good quality.,Thank you for your kind words! We're delighted to hear you had a positive experience with our website and shipping. We strive to offer competitive pricing and high-quality products.,"December 03, 2024"
Up North Sports is seriously the best,Sayge Dasilva,US,2,5,"Up North Sports is seriously the best! They have an awesome selection from all the top brands, and always have the lowest pricing! They deliver super fast and have the best team you could ask for, I call them all the time. UNS is always my first choice when looking for winter gear!","We are thrilled to hear about your positive experience with our store! We strive to provide our customers with the best selection, pricing, and service, so we are delighted to know we have met your expectations. We appreciate your kind words about our team and their dedication to providing excellent customer service. We are proud to be your go-to source for winter gear and look forward to serving you again in the future.","December 17, 2024"
Customer Service is TOP NOTCH!!!!,Kristen,US,1,5,"I accidentally ordered the wrong color but fortunately noticed right away. I sent them an email on the weekend no less and got an extremely fast response, my order was corrected and delivered promptly!!! I have nothing but praise for my first purchase from them!!! I anticipate I will be making more. Their customer service speaks volumes!",We are so happy to hear about your positive experience! It's wonderful to know that our customer service team was able to quickly address your order issue and ensure you received the correct product. We appreciate your kind words and are thrilled you are happy with your purchase. We look forward to serving you again in the future.,"November 27, 2024"
Nice company to do business with,Mr C,US,3,5,"I initially purchased a Striker Predator Jacket and Bibs in the medium size. Delivery was very prompt. Unfortunately, both items seemed somewhat too small for my size. I contacted UpNorth Sports about the issue and the representative suggested I order both in the large size so I could compare the fit of both and return the size I wasn't keeping. The large size jacket and bibs were exactly what I needed and after returning the unneeded jacket and bibs (very easy to do at a local FedEx drop off point) I received credit for my initial purchase as promised. Simply a nice company to do business with - great prices and excellent customer service.","We appreciate you taking the time to share your positive experience. We're glad to hear that you were able to find the perfect fit for your Striker Predator Jacket and Bibs.  We strive to provide our customers with a seamless shopping experience, and we're pleased that you found our customer service helpful and our return process convenient.  We value your feedback and will continue to work hard to ensure that all our customers have a positive experience with Up North Sports.","December 05, 2024"
Slow shipping,Damien,US,1,1,I sure would love to know how these people got their stuff so fast claiming fast delivery when I got an email from customer service stating it should ship by the end of the week when I asked. The end of the week? It takes you all an entire working week to get an order out? That’s assuming it ships tomorrow cause as of today (Thursday) it still has not.,"We understand your frustration with the delivery timeframe. We strive to provide fast and efficient service, and we apologize that your experience did not meet your expectations. We are committed to improving our delivery processes and ensuring that our customers receive their orders promptly. Thank you for bringing this to our attention, and we appreciate your feedback.","December 08, 2024"
Ordered the wrong bib pants for snowmobiling.,Deb D. New Hampshire,US,1,5,"I purchased the wrong bib pants for snowmobiling worried about the return being in the northeast. After a quick chat with Austin, it was very great! Easy and quick! Now we’re ready to hit the trails!","We're thrilled to hear that Austin was able to help you get the right bib pants for your snowmobiling adventures. We understand the importance of having the right gear, especially when it comes to winter sports. We're glad you found the return process easy and quick, and we hope you have a fantastic time on the trails!","December 13, 2024"
Return and exchange very easy,Mary Hagen,US,3,5,We ordered a floatation Ice suit and had it in one day…unfortunately the bids were too big.   We were given information on returning them for an exchange.  The new bids came and fit perfect.   All the people we came in contact with were very helpful and polite.  Up North Sports is very nice place to do business.,"We appreciate your kind words and are glad to hear you had a positive experience with our company. We understand that finding the right fit can be challenging, and we're happy to hear our team was able to assist you in getting the perfect size. We strive to provide excellent customer service and are pleased to know you found our staff helpful and polite.","December 01, 2024"
Keeps meat frozen,Clyde Zoubian,US,1,5,"This cooler kept an entire processed deer frozen solid during an 3 day trip across country from SC back to AZ. Deer was still frozen when unpacking on 3rd, ice had not started to melt yet, and there was enough room to fit a 2nd deer had I got lucky and filled all my tags. It’s a good cooler",False,"December 03, 2024"
Eazy to navigate and get proper parts…,William Brooks,US,1,5,Eazy to navigate and get proper parts for my favorite cooler. It has been an a lot of 4x4 trips and never failed !!  The latches got broken when a frend slid his jeep in to it and that was the only thing that broke,False,"January 04, 2025"
I had a very unique issue with one of…,Justin Buchanan,US,1,5,I had a very unique issue with one of my coolers. Jason was very helpful and gave me a possible solution to fix the issue. He also applied a discount for the purchase. Thank you,False,"January 02, 2025"
I receiver the Pro 45 in Azure Blue for…,Brian Higley,US,1,5,"I receiver the Pro 45 in Azure Blue for Christmas this morning. I looked far and wide for a new cooler and looked at lots of different roto molded options out there. Canyon checked all the boxes for me. This thing is bulletproof and beautiful, functional and sturdy. I can’t wait to load it up and take a trip. I can’t imagine anything going wrong with this beast but if it does I know I’ve got the “Crap Happens” warranty backing me up.",False,"December 25, 2024"
Third Experience!,Lakota Jones,US,3,5,This is my third experience with Canyon Coolers! I have 2 of them and just added some drinkware. Their version of a Hydroflask is my new daily carry. The wife got their pink version of a Stanley cup. A small business outperforming their corporate competitors. Hell yeah 👊,False,"November 29, 2024"
My partner loves it!,Angel,US,2,5,"My partner opened it yesterday and absolutely loved it. He said it'll be great for trips hunting and packing a deer. He's excited about the color, how durable it seems, and the warranty. He was very surprised and can't wait to use it for those trips and parties this summer too.",False,"December 24, 2024"
We have been using Canyon Coolers for…,Shai,US,1,5,We have been using Canyon Coolers for years!  Everyone in our family has one!  Essential cooler for our many hunting trips each year!!,False,"December 26, 2024"
Nomad Go- Backpack Cooler,Michael McGowan,US,1,5,Purchase and shipping were quick and easy. The coolers themselves are incredible! Love the functionality and durability. The ice retention and water proofing are amazing. Like no other cooler I've ever owned.,False,"November 30, 2024"
Fast service and awesome staff,Doris Honanie,US,1,5,Ordered a Koyawena Series water bottle and was met with fast service and awesome staff.,False,"December 08, 2024"
Blue Pro 85 for my Blue Maravia Diablo --Perfect,customer,US,3,5,"Appreciate the fall sale to make a gift to my raft for Christmas.  Excellent product, service and delivery and had been waiting for an in-between size (have CC 125 - too big for regular use on my Maravia Diablo 14') and wanted something smaller than the Prospector-- along came the Pro 85 with rail stops and blue to match my boat.  Perfect.  Look forward to CC making a divider for  it soon.",False,"November 22, 2024"
So far so good,Happy Customer,US,1,5,So far so good.  Seems extremely well built and solid.   Looking forward to testing it out this coming summer,False,"December 02, 2024"
Simple,Martin Loef,US,1,5,"Simple, straight forward transaction and dig the Black Friday price.  Have a Outfitter 55 and it has been a Work Horse.  From Baja, Road Trips, Sierra, Family gatherings and Trailgating.  It be the bomb!  Packs well, performs perfect and the best guarantee.Look forward using the Coulee for short trips, Kayaking, paddle boarding and Go To get away pack.Much prefer Flagstaff to Austin!!!!!!!!!!!!!!!!!!!!!",False,"December 01, 2024"
Website was easy to navigate and…,Steven Smith,US,1,5,Website was easy to navigate and provided what seemed like real-time information about items in stock (20% off sale going on and stock was changing pretty frequently).  Had some questions and was answered via live chat.  Ordered the Outfitter 55 and it was at my front door four days later.  Good experience.,False,"December 03, 2024"
Customer service was excellent,RON CREWS,US,2,5,"Customer service was excellent! I ordered a cooler on Sunday, called Monday to see if I could add on a table and two baskets to the order and ship them with the cooler. The customer service guy said I’ll go back right now and set them with the cooler. Of course he did and I received everything in one shipment. Thanks guys!",False,"November 23, 2024"
Great Product,Scott K,US,1,5,Good quality construction and a great price point. Perfect cooler to throw on the boat! Fast shipping!,False,"December 02, 2024"
Keeping Your Cool,Larry,US,6,5,"We have two different sizes of Canyon Coolers and we find them excellent in build quality and in keeping ice, ice. We recently followed the QR code on your ginormous Sprinter Van to order a smaller cooler that will fit behind the front seats of our vehicle. The web experience was easy and the product selection was great.","Larry,You can see that van from space ! Thanks so much for your loyalty and taking the time to submit such a great review. It was awesome getting invited to the LA Auto Show and connecting with a few clients. Sound like you ran across our van there.Stay Cool,Jason CostelloCEOCanyon Coolers","December 02, 2024"
My order was not filled as promised,billy hunt,US,1,5,"My order was not filled as promised, so they cancelled my order, very nice and answered a few questions for me. Even though they didn’t get my cooler to me, I wouldn’t hesitate to do business with Canyon Cooers in the future. We should all be blessed to work with such a fine customer service.Thank you.",False,"November 19, 2024"
Customer service was above and beyond,Bobbie LaValley,US,1,5,"Customer service was above and beyond! I placed my order within days of moving, and didn’t realize my device had auto-populated my OLD address for shipping until after the order was confirmed. I contacted Canyon’s support team, and they responded very promptly. It took a few emails to get the order tracked down, but they were able to fix my error within minutes! I give them a 12/10 for service!",False,"November 29, 2024"
I have two canyon coolers and I…,Richard Perez,US,1,5,I have two canyon coolers and I wouldn’t trade them for any other cooler I’ve tried them all and canyon has out done all of them it’s a great product,False,"December 16, 2024"
Awesome Crew and Awesome Cooler Manufacturer!👍🏻,Troy Morin,US,2,5,"Awesome Crew! When I talked the crew phone, your crew has great customer service and personality towards their clientele.👍🏻 I just bought my first Canyon Cooler and I am stoked about owning one.   I will be a Canyon Cooler Customer from now on! Thank you Crew! Keep up the awesome work!👍🏻",False,"December 09, 2024"
Fast & reliable,DRoadcycle,US,1,5,Fast service. I ordered at 12:21pm and had a tracking number by 12:58pm. A reliable source for cycling components.,False,"January 03, 2025"
Fast Shipping and Great Service,JJ Samson,GB,1,5,"Great experience. I am in Germany when I ordered the components. Placed the order on Christmas Day, came to delivery address in the US on 27th. Customer service is fast and reliable as I have some queries regarding the status of my order. Really a 5/5 for me. 💯","Thank you so much for sharing your experience, JJ! We're delighted to hear that your order was processed and delivered so quickly, even during the holiday season. It's great to know our customer service was able to assist you promptly with your queries. Your 5/5 rating and kind words mean a lot to us! We look forward to serving you again.","December 27, 2024"
Correct parts,Paul T,US,1,5,All the parts were in the package to replace the bearings for the Assioma power pedals . Just wish there was an instruction sheet with torque values.,"Thank you for your review, Paul! We're glad to hear all the parts were included in the package to replace the bearings on your Assioma power pedals. We'll pass on your suggestion about including an instruction sheet with torque values—it’s a great idea to make the process easier. In the meantime, feel free to reach out if you need any assistance or specific torque values! Ride safe!","December 24, 2024"
Rad shopping experience,Romeo Santiago,US,2,5,First time but won’t be the last time I order from this Powermeter City.  Got my power meter to me super fast and got all my questions answered super fast also.  Overall great experience.  Will be my go to shop for things they may have in stock that I’m in the market for.,"Thank you so much for your kind words, Romeo! We're delighted to hear that your first experience with us was a great one. Fast shipping and helpful service are what we strive for! We’re honored to be your go-to shop and look forward to helping you with your future cycling needs!","December 25, 2024"
Sigeyi AXO SRAM Road Power Meter,Thomas McHale,US,1,5,"I recently ordered a Power Meter that unfortunately did not fit my bike due to an incorrect assumption on my part. While I was disappointed about the restocking fee, I appreciated the smooth return process and the promptness of the refund once you received the item.I have since ordered the correct Power Meter model, which arrived quickly and was easy to install. Thank you for your assistance.","Thank you for sharing your experience with us, Thomas! We're sorry to hear about the initial inconvenience but are glad the return process was smooth and that you received your refund promptly. It's great to know the correct power meter arrived quickly and was easy to install. If you need any further assistance, please don't hesitate to reach out – we're always here to help!","December 19, 2024"
I visited power meter city to get help…,Katie,US,1,5,"I visited power meter city to get help picking out a gift and I couldn’t be more pleased with the experience! The guys were super friendly, knowledgeable and really took the time to understand what I was looking for. I know nothing about bikes and they helped me find the perfect gift for my husband! Excellent customer service and seems like they have a great selection.","Hi Katie, Thank you so much for sharing your experience! We're thrilled to hear that our team was able to help you find the perfect gift for your husband. We pride ourselves on providing friendly, knowledgeable service and are so glad we could make your visit a positive one. We hope your husband loves his gift, and we look forward to helping you again in the future!","December 02, 2024"
Power meter,mike,US,1,5,Good customer service to get correct part the first time. Shipped fast and packaged securely. I would recommend and use again.,"Thank you for your kind words, Mike! We're thrilled you had a positive experience with our customer service and that your order arrived quickly and securely. We truly appreciate your recommendation and look forward to assisting you again in the future!","December 28, 2024"
Prompt shipping and great prices,Paul R,US,1,5,Prompt shipping and great prices. No complaints at all. I will look to order from Power Meter City again.,False,"December 06, 2024"
They had exactly what I was looking…,Mitchell,US,2,5,They had exactly what I was looking for. Down to the seam dust cap that I lost. Got everything quick as well. Will use you guys again,False,"December 27, 2024"
Amazing customer service,Anne,US,4,5,"Amazing customer service. Helped locate item that they didn't have in stock to facilitate use of one that they did have available (ordered). Personal service, phone calls, and amazing work getting product out yet same day. Thanks.","Thank you so much for your kind words, Anne! We're delighted to hear that our team could assist you in finding a solution and getting your order out on the same day. Providing personalized service is our priority, and your appreciation means a lot to us. Don’t hesitate to reach out if you need anything else!","December 02, 2024"
First time ordering from this company…,Romeo Santiago,US,1,5,First time ordering from this company and it won’t be the last.  Super fast shipping and quick to respond to any questions I had.,"Awesome! Thank you so much, Romeo. We are here if there is anything else we can help you with! Ride safe!","December 23, 2024"
Easy and fast delivery,Ariel Zima,AR,1,5,Awesome product original with box. Received in Argentina in 5 Day. Excelent service. Will buy again,"Thank you so much for your review, Ariel! We're thrilled you received your product quickly and are happy with the service. It’s fantastic to know you’ll shop with us again. We look forward to serving you in the future!","December 24, 2024"
Very fast shipping and very good…,Francesco Barba,US,4,5,Very fast shipping and very good customer service,False,"January 03, 2025"
Quick and Easy Online Ordering,C. Corsiglia,US,1,5,Online ordering was very easy and the power meter pedals were delivered very quickly!,Thank you so much for this wonderful review! Please let us know if there is anything else we can help you with!,"December 19, 2024"
Relief from Panic,Sean Hardwick,US,2,5,"I was in a bit of a panic when I lost a very important part, but went on the site and ordered it. Then ask them to confirm that I was ordering the right part and they did incredibly quickly. This team is so responsive highly recommend using them whenever possible.","Thank you for your amazing review, Sean! We’re so glad we could help you find the right part quickly. Your recommendation means the world to us; we’re always here to support you. Don’t hesitate to reach out if there’s anything else we can do for you!","December 09, 2024"
